Name	Set	Imagefile	Affiliation	Type	Cost	ConvertedCost	Offense	Defense	Mind	Body	Skills	Text
1 Decoy	Token	wtf2		Hidden Marker								
1 Real	Token	wtf3		Hidden Marker								
Cloned Queen	Resurrection	Katar_the_Remorseless	Alien	Main Character								
Cloned Alien Warrior	Resurrection	Faithful_Steed	Alien	Main Character 								
Pressure Doors	Resurrection	avp_image_rez_barrier_pressure_doors		Barrier								
Resin Barrier	Resurrection	avp.image.rez.barrier.resin.barrier		Barrier								
Coolant Leak	Resurrection	avp.image.rez.condition.coolant.leak		Condition								
Defensive Position	Resurrection	avp.image.rez.condition.defensive.position		Condition								
Good To Go	Resurrection	avp.image.rez.condition.good.to.go		Condition								
Low Light Levels	Resurrection	avp.image.rez.condition.low.light.levels		Condition								
Acid Attack	Resurrection	avp.image.rez.event.acid.attack		Event								
Alien Sacrifice	Resurrection	avp.image.rez.event.alien.sacrifice		Event								
Aquatic Agility	Resurrection	avp.image.rez.event.aquatic.agility		Event								
As The Queen Commands	Resurrection	avp.image.rez.event.as.the.queen.commands		Event								
Black Market	Resurrection	avp.image.rez.event.black.market		Event								
Bloody Trophy	Resurrection	avp.image.rez.event.bloody.trophy		Event								
Breath Analyzer	Resurrection	avp.image.rez.event.breath.analyzer		Event								
Calling In The Favors	Resurrection	avp.image.rez.event.calling.in.the.favors		Event								
Clear Us A Path	Resurrection	avp.image.rez.event.clear.us.a.path		Event								
Code 8	Resurrection	avp.image.rez.event.code.8		Event								
Criminal Instinct	Resurrection	avp.image.rez.event.criminal.instinct		Event								
Desperate For Air	Resurrection	avp.image.rez.event.desperate.for.air		Event								
Distraction	Resurrection	avp.image.rez.event.distraction		Event								
Egg Clutch	Resurrection	avp.image.rez.event.egg.clutch		Event								
Enhanced Cunning	Resurrection	avp.image.rez.event.enhanced.cunning		Event								
Establish The Hive	Resurrection	avp.image.rez.event.establish.the.hive		Event								
Experimental Research	Resurrection	avp.image.rez.event.experimental.research		Event								
Face Burster	Resurrection	avp.image.rez.event.face.burster		Event								
Fight Or Flight	Resurrection	avp.image.rez.event.fight.or.flight		Event								
Flooded	Resurrection	avp.image.rez.event.flooded		Event								
Genetic Experiment: Accelerated Metabolism	Resurrection	avp.image.rez.event.genetic.experiment.accelerated.metabolism		Event								
Genetic Experiment: Armored Exoskeleton	Resurrection	avp.image.rez.event.genetic.experiment.armored.exoskeleton		Event								
Genetic Experiment: Intrinsic Flaw	Resurrection	avp.image.rez.event.genetic.experiment.intrinsic.flaw		Event								
Genetic Experiment: Natural Camouflage	Resurrection	avp.image.rez.event.genetic.experiment.natural.camouflage		Event								
Hit Below The Belt	Resurrection	avp.image.rez.event.hit.below.the.belt		Event								
Human Cargo	Resurrection	avp.image.rez.event.human.cargo		Event								
I Thought You Were Dead	Resurrection	avp.image.rez.event.i.thought.you.were.dead		Event								
If He Dies, You Die	Resurrection	avp.image.rez.event.if.he.dies.you.die		Event								
